iter	Passed	Remaining
328	3047	10846
329	3056	10835
330	3065	10825
331	3074	10816
332	3083	10805
333	3092	10795
334	3100	10783
335	3109	10771
336	3118	10761
337	3126	10749
338	3135	10740
339	3144	10728
340	3154	10721
341	3162	10709
342	3171	10698
343	3180	10689
344	3189	10678
345	3198	10666
346	3207	10657
347	3216	10647
348	3225	10636
349	3233	10624
350	3242	10612
351	3250	10602
352	3259	10591
353	3267	10578
354	3277	10569
355	3285	10558
356	3294	10548
357	3303	10538
358	3312	10528
359	3321	10518
360	3331	10509
361	3340	10502
362	3349	10490
363	3357	10478
364	3365	10466
365	3374	10455
366	3383	10444
367	3392	10434
368	3401	10425
369	3410	10414
370	3420	10408
371	3429	10398
372	3437	10387
373	3446	10375
374	3455	10367
375	3464	10355
376	3473	10345
377	3482	10335
378	3490	10323
379	3499	10314
380	3508	10303
381	3516	10292
382	3526	10284
383	3536	10277
384	3544	10266
385	3553	10255
386	3561	10244
387	3571	10234
388	3580	10225
389	3588	10213
390	3597	10204
391	3606	10193
392	3614	10182
393	3623	10171
394	3632	10161
395	3640	10150
396	3649	10138
397	3657	10126
398	3666	10116
399	3674	10104
400	3683	10094
401	3691	10083
402	3701	10074
403	3710	10064
404	3719	10056
405	3727	10044
406	3736	10034
407	3745	10024
408	3753	10012
409	3762	10002
410	3770	9991
411	3779	9981
412	3788	9970
413	3796	9959
414	3805	9950
415	3814	9940
416	3823	9931
417	3832	9920
418	3841	9911
419	3850	9901
420	3859	9892
421	3869	9883
422	3877	9871
423	3886	9862
424	3894	9851
425	3903	9841
426	3912	9832
427	3921	9823
428	3930	9813
429	3939	9803
430	3948	9794
431	3957	9783
432	3965	9771
433	3974	9762
434	3983	9752
435	3992	9742
436	4000	9732
437	4010	9723
438	4018	9713
439	4027	9703
440	4036	9692
441	4044	9680
442	4053	9671
443	4062	9662
444	4071	9653
445	4081	9644
446	4090	9636
447	4100	9628
448	4108	9617
449	4117	9608
450	4127	9599
451	4136	9591
452	4145	9581
453	4155	9573
454	4164	9564
455	4174	9557
456	4183	9549
457	4192	9539
458	4201	9529
459	4210	9520
460	4219	9510
461	4229	9502
462	4238	9493
463	4248	9485
464	4257	9476
465	4266	9466
466	4276	9460
467	4285	9450
468	4294	9440
469	4303	9431
470	4313	9423
471	4322	9413
472	4331	9405
473	4340	9395
474	4350	9387
475	4359	9378
476	4369	9370
477	4378	9361
478	4387	9351
479	4398	9347
480	4408	9339
481	4417	9329
482	4428	9323
483	4438	9316
484	4448	9309
485	4457	9300
486	4466	9290
487	4475	9280
488	4484	9270
489	4493	9261
490	4502	9252
491	4511	9242
492	4520	9233
493	4529	9223
494	4538	9213
495	4547	9204
496	4556	9194
497	4564	9184
498	4573	9173
499	4581	9163
500	4590	9154
501	4599	9143
502	4607	9132
503	4616	9122
504	4625	9113
505	4633	9102
506	4642	9093
507	4652	9085
508	4661	9076
509	4670	9066
510	4679	9056
511	4687	9046
512	4696	9035
513	4705	9026
514	4713	9015
515	4722	9006
516	4731	8996
517	4740	8986
518	4748	8976
519	4756	8964
520	4765	8955
521	4774	8945
522	4782	8933
523	4791	8925
524	4800	8915
525	4810	8906
526	4818	8896
527	4827	8886
528	4836	8877
529	4844	8866
530	4853	8856
531	4861	8845
532	4870	8835
533	4878	8824
534	4887	8815
535	4896	8805
536	4905	8796
537	4914	8787
538	4923	8777
539	4932	8768
540	4940	8758
541	4949	8747
542	4957	8737
543	4966	8728
544	4975	8717
545	4984	8708
546	4992	8698
547	5001	8688
548	5009	8677
549	5018	8668
550	5027	8658
551	5036	8649
552	5044	8638
553	5053	8629
554	5061	8618
555	5070	8608
556	5078	8598
557	5087	8588
558	5096	8579
559	5104	8568
560	5113	8558
561	5121	8548
562	5130	8538
563	5139	8529
564	5148	8520
565	5157	8510
566	5165	8500
567	5174	8490
568	5183	8480
569	5191	8470
570	5200	8461
571	5209	8451
572	5218	8442
573	5227	8432
574	5235	8422
575	5244	8412
576	5252	8402
577	5261	8392
578	5269	8382
579	5279	8373
580	5287	8364
581	5296	8354
582	5305	8344
583	5314	8335
584	5322	8324
585	5331	8315
586	5339	8304
587	5348	8295
588	5356	8285
589	5365	8275
590	5373	8265
591	5383	8256
592	5392	8247
593	5401	8237
594	5409	8228
595	5418	8218
596	5427	8209
597	5436	8199
598	5444	8190
599	5453	8180
600	5462	8170
601	5470	8160
602	5479	8151
603	5487	8140
604	5495	8130
605	5504	8119
606	5513	8111
607	5521	8100
608	5529	8090
609	5537	8079
610	5546	8070
611	5554	8059
612	5564	8051
613	5574	8044
614	5583	8034
615	5591	8024
616	5600	8014
617	5608	8004
618	5616	7993
619	5625	7983
620	5634	7974
621	5642	7964
622	5649	7953
623	5658	7944
624	5667	7934
625	5676	7924
626	5684	7915
627	5692	7904
628	5701	7894
629	5710	7885
630	5718	7875
631	5727	7866
632	5735	7855
633	5744	7846
634	5753	7837
635	5762	7827
636	5770	7817
637	5779	7808
638	5787	7798
639	5796	7788
640	5805	7779
641	5813	7769
642	5822	7760
643	5832	7752
644	5840	7742
645	5849	7732
646	5858	7723
647	5865	7712
648	5874	7702
649	5882	7692
650	5891	7683
651	5900	7673
652	5909	7664
653	5917	7655
654	5927	7646
655	5936	7637
656	5945	7628
657	5954	7619
658	5963	7610
659	5971	7600
660	5980	7590
661	5989	7581
662	5997	7571
663	6005	7561
664	6014	7552
665	6023	7542
666	6031	7531
667	6039	7522
668	6048	7512
669	6056	7502
670	6065	7493
671	6074	7484
672	6083	7475
673	6092	7465
674	6101	7457
675	6110	7448
676	6118	7438
677	6127	7428
678	6135	7418
679	6144	7409
680	6152	7399
681	6161	7390
682	6170	7381
683	6179	7371
684	6188	7362
685	6196	7353
686	6206	7344
687	6215	7335
688	6224	7326
689	6232	7316
690	6241	7307
691	6249	7297
692	6258	7287
693	6268	7279
694	6276	7270
695	6285	7260
696	6293	7250
697	6302	7241
698	6310	7231
699	6318	7221
700	6327	7211
701	6335	7202
702	6344	7192
703	6352	7182
704	6361	7173
705	6371	7165
706	6379	7155
707	6389	7147
708	6397	7137
709	6406	7127
710	6416	7120
711	6424	7110
712	6433	7101
713	6443	7092
714	6452	7084
715	6460	7074
716	6469	7065
717	6478	7055
718	6487	7046
719	6495	7037
720	6504	7027
721	6512	7017
722	6520	7007
723	6529	6998
724	6538	6989
725	6546	6979
726	6556	6971
727	6566	6963
728	6575	6954
729	6584	6944
730	6593	6935
731	6601	6926
732	6610	6917
733	6619	6907
734	6627	6898
735	6635	6888
736	6644	6878
737	6653	6869
738	6661	6859
739	6670	6850
740	6678	6841
741	6687	6831
742	6695	6822
743	6704	6812
744	6713	6803
745	6722	6794
746	6731	6785
747	6739	6775
748	6747	6765
749	6756	6756
750	6764	6746
751	6773	6737
752	6781	6727
753	6790	6718
754	6799	6709
755	6808	6700
756	6816	6690
757	6825	6681
758	6833	6671
759	6842	6662
760	6850	6652
761	6859	6643
762	6867	6633
763	6876	6624
764	6885	6615
765	6894	6606
766	6903	6597
767	6912	6588
768	6921	6579
769	6930	6570
770	6940	6562
771	6949	6553
772	6957	6543
773	6966	6534
774	6975	6525
775	6984	6516
776	6992	6506
777	7001	6497
778	7011	6489
779	7019	6479
780	7029	6471
781	7038	6462
782	7048	6454
783	7057	6445
784	7065	6435
785	7074	6426
786	7082	6416
787	7091	6407
788	7100	6398
789	7109	6389
790	7117	6379
791	7126	6370
792	7135	6361
793	7143	6352
794	7152	6343
795	7162	6334
796	7170	6324
797	7179	6315
798	7187	6305
799	7196	6296
800	7205	6287
801	7213	6278
802	7222	6268
803	7231	6260
804	7240	6251
805	7249	6241
806	7257	6232
807	7265	6222
808	7274	6213
809	7283	6204
810	7292	6195
811	7300	6185
812	7308	6176
813	7317	6166
814	7325	6157
815	7334	6147
816	7342	6138
817	7351	6128
818	7360	6120
819	7369	6111
820	7378	6102
821	7386	6092
822	7394	6082
823	7402	6072
824	7411	6064
825	7420	6054
826	7430	6046
827	7438	6037
828	7447	6028
829	7455	6018
830	7464	6009
831	7472	5999
832	7481	5990
833	7490	5981
834	7498	5972
835	7507	5962
836	7515	5953
837	7524	5944
838	7533	5934
839	7542	5926
840	7552	5918
841	7563	5910
842	7573	5902
843	7581	5892
844	7591	5884
845	7600	5875
846	7609	5866
847	7617	5857
848	7626	5848
849	7635	5838
850	7644	5829
851	7653	5820
852	7661	5811
853	7670	5802
854	7679	5792
855	7688	5784
856	7696	5774
857	7704	5765
858	7713	5756
859	7721	5746
860	7730	5737
861	7738	5727
862	7746	5718
863	7755	5709
864	7764	5700
865	7773	5690
866	7781	5681
867	7790	5672
868	7798	5662
869	7807	5653
870	7816	5644
871	7824	5635
872	7833	5626
873	7842	5617
874	7851	5608
875	7859	5598
876	7868	5589
877	7876	5579
878	7884	5570
879	7892	5560
880	7900	5551
881	7909	5541
882	7917	5532
883	7927	5523
884	7936	5514
885	7945	5506
886	7954	5496
887	7962	5487
888	7971	5478
889	7979	5469
890	7988	5460
891	7997	5450
892	8005	5441
893	8013	5431
894	8023	5423
895	8032	5414
896	8040	5405
897	8048	5395
898	8058	5387
899	8067	5378
900	8076	5369
901	8086	5361
902	8094	5351
903	8103	5342
904	8112	5333
905	8120	5324
906	8129	5314
907	8138	5306
908	8146	5296
909	8155	5287
910	8164	5278
911	8173	5269
912	8182	5260
913	8190	5251
914	8199	5242
915	8207	5232
916	8216	5223
917	8225	5214
918	8233	5205
919	8242	5196
920	8251	5187
921	8259	5177
922	8267	5168
923	8276	5159
924	8285	5150
925	8295	5141
926	8303	5132
927	8312	5123
928	8321	5114
929	8329	5105
930	8338	5096
931	8347	5087
932	8356	5078
933	8365	5069
934	8375	5060
935	8384	5052
936	8393	5043
937	8402	5034
938	8410	5024
939	8419	5015
940	8427	5006
941	8437	4997
942	8446	4988
943	8455	4980
944	8464	4971
945	8473	4962
946	8482	4953
947	8490	4943
948	8499	4935
949	8508	4925
950	8516	4916
951	8525	4907
952	8535	4899
953	8546	4891
954	8555	4882
955	8562	4872
956	8571	4863
957	8579	4854
958	8588	4844
959	8596	4835
960	8604	4826
961	8613	4816
962	8621	4807
963	8631	4799
964	8639	4789
965	8648	4781
966	8657	4771
967	8665	4762
968	8674	4753
969	8683	4744
970	8692	4735
971	8701	4726
972	8710	4717
973	8718	4708
974	8726	4699
975	8735	4689
976	8743	4680
977	8752	4671
978	8761	4662
979	8770	4653
980	8779	4644
981	8787	4635
982	8795	4626
983	8804	4616
984	8811	4607
985	8821	4598
986	8828	4588
987	8837	4579
988	8845	4570
989	8854	4561
990	8862	4552
991	8871	4543
992	8879	4533
993	8887	4524
994	8896	4515
995	8940	4524
996	8958	4519
997	8967	4510
998	8976	4501
999	8983	4491
1000	8992	4482
1001	9001	4473
1002	9012	4465
1003	9021	4456
1004	9030	4447
1005	9039	4439
1006	9048	4429
1007	9056	4420
1008	9065	4411
1009	9073	4402
1010	9082	4392
1011	9090	4383
1012	9099	4374
1013	9108	4365
1014	9117	4356
1015	9126	4347
1016	9134	4338
1017	9143	4329
1018	9152	4320
1019	9160	4311
1020	9169	4301
1021	9178	4292
1022	9187	4283
1023	9195	4274
1024	9204	4265
1025	9213	4256
1026	9222	4247
1027	9232	4239
1028	9243	4230
1029	9252	4222
1030	9261	4212
1031	9270	4204
1032	9279	4194
1033	9288	4185
1034	9299	4177
1035	9309	4169
1036	9319	4160
1037	9330	4152
1038	9340	4144
1039	9350	4135
1040	9358	4126
1041	9368	4117
1042	9378	4109
1043	9388	4100
1044	9396	4091
1045	9406	4082
1046	9415	4073
1047	9424	4064
1048	9433	4055
1049	9442	4046
1050	9450	4037
1051	9458	4028
1052	9467	4018
1053	9475	4009
1054	9484	4000
1055	9492	3991
1056	9502	3982
1057	9510	3973
1058	9518	3963
1059	9528	3955
1060	9539	3946
1061	9549	3938
1062	9558	3929
1063	9566	3920
1064	9575	3911
1065	9584	3902
1066	9593	3893
1067	9602	3884
1068	9610	3874
1069	9618	3865
1070	9627	3856
1071	9635	3847
1072	9644	3837
1073	9651	3828
1074	9660	3819
1075	9669	3810
1076	9678	3801
1077	9686	3792
1078	9695	3782
1079	9704	3773
1080	9713	3764
1081	9721	3755
1082	9729	3746
1083	9739	3737
1084	9749	3728
1085	9757	3719
1086	9766	3710
1087	9774	3701
1088	9783	3692
1089	9791	3683
1090	9801	3674
1091	9810	3665
1092	9818	3656
1093	9827	3647
1094	9836	3638
1095	9844	3628
1096	9853	3619
1097	9862	3610
1098	9871	3601
1099	9880	3592
1100	9888	3583
1101	9897	3574
1102	9906	3565
1103	9915	3556
1104	9924	3547
1105	9932	3538
1106	9940	3529
1107	9949	3520
1108	9957	3510
1109	9965	3501
1110	9973	3492
1111	9982	3483
1112	9991	3474
1113	10000	3464
1114	10008	3455
1115	10016	3446
1116	10024	3437
1117	10033	3428
1118	10042	3419
1119	10050	3410
1120	10058	3400
1121	10066	3391
1122	10075	3382
1123	10084	3373
1124	10094	3364
1125	10102	3355
1126	10111	3346
1127	10120	3337
1128	10129	3328
1129	10137	3319
1130	10146	3310
1131	10154	3301
1132	10163	3292
1133	10171	3282
1134	10180	3273
1135	10189	3265
1136	10199	3256
1137	10208	3247
1138	10217	3238
1139	10225	3229
1140	10234	3220
1141	10243	3211
1142	10251	3201
1143	10260	3192
1144	10268	3183
1145	10277	3174
1146	10286	3165
1147	10295	3156
1148	10304	3147
1149	10313	3138
1150	10322	3129
1151	10331	3121
1152	10340	3112
1153	10349	3102
1154	10358	3094
1155	10366	3084
1156	10376	3076
1157	10384	3067
1158	10393	3058
1159	10401	3048
1160	10410	3039
1161	10418	3030
1162	10426	3021
1163	10435	3012
1164	10444	3003
1165	10452	2994
1166	10461	2985
1167	10470	2976
1168	10479	2967
1169	10487	2958
1170	10496	2948
1171	10505	2940
1172	10515	2931
1173	10525	2922
1174	10533	2913
1175	10541	2904
1176	10550	2895
1177	10558	2886
1178	10567	2877
1179	10575	2867
1180	10584	2858
1181	10593	2849
1182	10602	2840
1183	10610	2831
1184	10619	2822
1185	10627	2813
1186	10636	2804
1187	10645	2795
1188	10653	2786
1189	10662	2777
1190	10671	2768
1191	10679	2759
1192	10687	2750
1193	10695	2741
1194	10704	2732
1195	10712	2722
1196	10721	2713
1197	10729	2704
1198	10738	2695
1199	10746	2686
1200	10755	2677
1201	10764	2668
1202	10773	2659
1203	10782	2650
1204	10791	2641
1205	10800	2632
1206	10808	2623
1207	10818	2614
1208	10826	2605
1209	10835	2596
1210	10843	2587
1211	10852	2578
1212	10861	2569
1213	10870	2560
1214	10878	2551
1215	10887	2542
1216	10895	2533
1217	10904	2524
1218	10913	2515
1219	10922	2506
1220	10930	2497
1221	10939	2488
1222	10948	2479
1223	10956	2470
1224	10965	2461
1225	10974	2452
1226	10984	2443
1227	10992	2434
1228	11003	2426
1229	11011	2417
1230	11020	2408
1231	11029	2399
1232	11038	2390
1233	11046	2381
1234	11055	2372
1235	11063	2363
1236	11072	2354
1237	11080	2345
1238	11090	2336
1239	11098	2327
1240	11107	2318
1241	11116	2309
1242	11126	2300
1243	11135	2291
1244	11143	2282
1245	11152	2273
1246	11161	2264
1247	11170	2255
1248	11178	2246
1249	11186	2237
1250	11194	2228
1251	11202	2219
1252	11211	2210
1253	11219	2201
1254	11228	2192
1255	11237	2183
1256	11246	2174
1257	11254	2165
1258	11263	2156
1259	11271	2146
1260	11280	2137
1261	11288	2128
1262	11296	2119
1263	11305	2110
1264	11314	2101
1265	11324	2093
1266	11332	2084
1267	11342	2075
1268	11350	2066
1269	11358	2057
1270	11367	2048
1271	11376	2039
1272	11385	2030
1273	11395	2021
1274	11403	2012
1275	11411	2003
1276	11419	1994
1277	11428	1985
1278	11437	1976
1279	11445	1967
1280	11453	1958
1281	11462	1949
1282	11471	1940
1283	11481	1931
1284	11490	1922
1285	11499	1913
1286	11510	1905
1287	11519	1896
1288	11527	1887
1289	11536	1878
1290	11545	1869
1291	11554	1860
1292	11563	1851
1293	11571	1842
1294	11580	1833
1295	11589	1824
1296	11597	1815
1297	11606	1806
1298	11615	1797
1299	11624	1788
1300	11632	1779
1301	11641	1770
1302	11649	1761
1303	11657	1752
1304	11665	1743
1305	11674	1734
1306	11683	1725
1307	11692	1716
1308	11701	1707
1309	11710	1698
1310	11718	1689
1311	11727	1680
1312	11735	1671
1313	11745	1662
1314	11753	1653
1315	11761	1644
1316	11770	1635
1317	11779	1626
1318	11788	1617
1319	11797	1608
1320	11806	1599
1321	11815	1590
1322	11823	1581
1323	11832	1572
1324	11841	1563
1325	11850	1555
1326	11859	1546
1327	11867	1537
1328	11876	1528
1329	11885	1519
1330	11894	1510
1331	11902	1501
1332	11911	1492
1333	11919	1483
1334	11928	1474
1335	11937	1465
1336	11946	1456
1337	11955	1447
1338	11963	1438
1339	11973	1429
1340	11982	1420
1341	11991	1411
1342	12000	1402
1343	12008	1393
1344	12017	1384
1345	12025	1375
1346	12034	1366
1347	12042	1357
1348	12051	1348
1349	12059	1339
1350	12069	1331
1351	12077	1322
1352	12086	1313
1353	12094	1304
1354	12103	1295
1355	12112	1286
1356	12122	1277
1357	12130	1268
1358	12140	1259
1359	12149	1250
1360	12157	1241
1361	12166	1232
1362	12175	1223
1363	12185	1214
1364	12193	1205
1365	12202	1196
1366	12210	1188
1367	12218	1178
1368	12226	1170
1369	12235	1161
1370	12244	1152
1371	12253	1143
1372	12262	1134
1373	12271	1125
1374	12279	1116
1375	12287	1107
1376	12296	1098
1377	12305	1089
1378	12314	1080
1379	12323	1071
1380	12332	1062
1381	12341	1053
1382	12351	1044
1383	12360	1035
1384	12370	1027
1385	12378	1018
1386	12386	1009
1387	12396	1000
1388	12404	991
1389	12413	982
1390	12421	973
1391	12430	964
1392	12438	955
1393	12447	946
1394	12455	937
1395	12464	928
1396	12474	919
1397	12483	910
1398	12494	902
1399	12504	893
1400	12513	884
1401	12521	875
1402	12529	866
1403	12538	857
1404	12548	848
1405	12556	839
1406	12565	830
1407	12574	821
1408	12582	812
1409	12592	803
1410	12600	794
1411	12609	785
1412	12618	776
1413	12627	768
1414	12636	759
1415	12644	750
1416	12653	741
1417	12661	732
1418	12669	723
1419	12678	714
1420	12686	705
1421	12695	696
1422	12703	687
1423	12712	678
1424	12720	669
1425	12729	660
1426	12738	651
1427	12748	642
1428	12756	633
1429	12764	624
1430	12773	615
1431	12782	607
1432	12791	598
1433	12799	589
1434	12808	580
1435	12816	571
1436	12825	562
1437	12833	553
1438	12842	544
1439	12850	535
1440	12859	526
1441	12869	517
1442	12879	508
1443	12888	499
1444	12896	490
1445	12905	481
1446	12914	473
1447	12922	464
1448	12932	455
1449	12941	446
1450	12949	437
1451	12958	428
1452	12967	419
1453	12978	410
1454	12987	401
1455	12996	392
1456	13006	383
1457	13014	374
1458	13023	365
1459	13033	357
1460	13041	348
1461	13049	339
1462	13059	330
1463	13067	321
1464	13076	312
1465	13085	303
1466	13094	294
1467	13103	285
1468	13111	276
1469	13121	267
1470	13129	258
1471	13137	249
1472	13146	240
1473	13155	232
1474	13163	223
1475	13171	214
1476	13181	205
1477	13189	196
1478	13198	187
1479	13206	178
1480	13215	169
1481	13223	160
1482	13231	151
1483	13240	142
1484	13248	133
1485	13257	124
1486	13266	115
1487	13275	107
1488	13283	98
1489	13293	89
1490	13302	80
1491	13311	71
1492	13320	62
1493	13328	53
1494	13337	44
1495	13346	35
1496	13355	26
1497	13364	17
1498	13372	8
1499	13381	0
